model_label,node_group,node_group_label,operation,type_pair,target_role,src_label,dst_label,attack,short_attack,endpoint_pair,short_endpoint_pair,plot_label,count
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,netflow 128.55.12.110:49721->146.153.68.151:80,Browser extension Drakon dropper,Attack 0,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache -> netflow 128.55.12.110:49721->146.153.68.151:80,native-messaging-hosts/gtcache -> netflow 128.55.12.110:49721->146.153.68.151:80,"process:* native-messaging-hosts/gtcache
-> netflow: netflow 128.55.12.110:49721->146.153.68.151:80",30
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/clean (deleted) | /home/admin/clean,netflow 128.55.12.110:45226->161.116.88.72:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/clean (deleted) | /home/admin/clean -> netflow 128.55.12.110:45226->161.116.88.72:80,admin/clean (deleted) -> netflow 128.55.12.110:45226->161.116.88.72:80,"process:* admin/clean (deleted)
-> netflow: netflow 128.55.12.110:45226->161.116.88.72:80",16
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44354->146.153.68.151:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:44354->146.153.68.151:80,firefox/firefox -> netflow 128.55.12.110:44354->146.153.68.151:80,"process:* firefox/firefox
-> netflow: netflow 128.55.12.110:44354->146.153.68.151:80",10
Leaky selected,FN,FN,EVENT_EXECUTE,file->subject,dst,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Browser extension Drakon dropper,Attack 0,file: /etc/firefox/native-messaging-hosts/pass_mgr -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox,"file: native-messaging-hosts/pass_mgr
-> process:* firefox/firefox",9
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44411->146.153.68.151:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:44411->146.153.68.151:80,firefox/firefox -> netflow 128.55.12.110:44411->146.153.68.151:80,"process:* firefox/firefox
-> netflow: netflow 128.55.12.110:44411->146.153.68.151:80",6
Leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /etc/passwd,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /etc/passwd -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,etc/passwd -> native-messaging-hosts/gtcache,"file: etc/passwd
-> process:* native-messaging-hosts/gtcache",3
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,src,subject: /home/admin/profile (deleted) | /home/admin/profile,netflow 128.55.12.110:45668->161.116.88.72:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/profile (deleted) | /home/admin/profile -> netflow 128.55.12.110:45668->161.116.88.72:80,admin/profile (deleted) -> netflow 128.55.12.110:45668->161.116.88.72:80,"process:* admin/profile (deleted)
-> netflow: netflow 128.55.12.110:45668->161.116.88.72:80",3
Leaky selected,FN,FN,EVENT_EXECUTE,file->subject,dst,file: /bin/uname,subject: /var/log/mail,Browser extension Drakon dropper,Attack 0,file: /bin/uname -> subject: /var/log/mail,bin/uname -> log/mail,"file: bin/uname
-> process:* log/mail",2
Leaky selected,FN,FN,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/firefox,subject: /usr/bin/fluxbox | fluxbox,Firefox backdoor Drakon in-memory,Attack 1,file: /home/admin/Downloads/firefox/firefox -> subject: /usr/bin/fluxbox | fluxbox,firefox/firefox -> bin/fluxbox,"file: firefox/firefox
-> process:* bin/fluxbox",2
Leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /dev/urandom,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Firefox backdoor Drakon in-memory,Attack 1,file: /dev/urandom -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,dev/urandom -> firefox/firefox,"file: dev/urandom
-> process:* firefox/firefox",2
Leaky selected,FN,FN,EVENT_EXECUTE,file->subject,dst,file: /bin/dash,subject: /etc/firefox/native-messaging-hosts/pass_mgr | /etc/firefox/native-messaging-hosts/pass_mgr /home/admin/.mozilla/native-messaging-hosts/pass_mgr.json,Browser extension Drakon dropper,Attack 0,file: /bin/dash -> subject: /etc/firefox/native-messaging-hosts/pass_mgr | /etc/firefox/native-messaging-hosts/pass_mgr /home/admin/.mozilla/native-messaging-hosts/pass_mgr.json,bin/dash -> native-messaging-hosts/pass_mgr,"file: bin/dash
-> process:* native-messaging-hosts/pass_mgr",1
Leaky selected,FN,FN,EVENT_EXECUTE,file->subject,src,file: /etc/firefox/native-messaging-hosts/pass_mgr,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Browser extension Drakon dropper,Attack 0,file: /etc/firefox/native-messaging-hosts/pass_mgr -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/pass_mgr -> firefox/firefox,"file:* native-messaging-hosts/pass_mgr
-> process: firefox/firefox",1
Leaky selected,FN,FN,EVENT_OPEN,file->subject,src,file: /etc/ld.so.cache,subject: /bin/dash | sh -c \n\t\tif [ -e /var/run/cups/cupsd.pid ]; then\n\t\t\tinvoke-rc.d --quiet cups force-reload > /dev/null\n\t\t\tsleep 10\n\t\tfi\n logrotate_script /var/log/cups/access_log.1 /var/log/cups/error_log.1,Browser extension Drakon dropper,Attack 0,file: /etc/ld.so.cache -> subject: /bin/dash | sh -c \n\t\tif [ -e /var/run/cups/cupsd.pid ]; then\n\t\t\tinvoke-rc.d --quiet cups force-reload > /dev/null\n\t\t\tsleep 10\n\t\tfi\n logrotate_script /var/log/cups/access_log.1 /var/log/cups/error_log.1,etc/ld.so.cache -> bin/dash,"file:* etc/ld.so.cache
-> process: bin/dash",1
Leaky selected,FN,FN,EVENT_OPEN,file->subject,src,file: /var/log/wdev,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /var/log/wdev -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,log/wdev -> native-messaging-hosts/gtcache,"file:* log/wdev
-> process: native-messaging-hosts/gtcache",1
Leaky selected,FN,FN,EVENT_OPEN,file->subject,src,file: /tmp/memtrace.so,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /tmp/memtrace.so -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,tmp/memtrace.so -> native-messaging-hosts/gtcache,"file:* tmp/memtrace.so
-> process: native-messaging-hosts/gtcache",1
Leaky selected,FN,FN,EVENT_OPEN,file->subject,dst,file: /usr/share,subject: /home/admin/clean (deleted) | /home/admin/clean,Firefox backdoor Drakon in-memory,Attack 1,file: /usr/share -> subject: /home/admin/clean (deleted) | /home/admin/clean,usr/share -> admin/clean (deleted),"file: usr/share
-> process:* admin/clean (deleted)",1
Leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /sys/devices/system/cpu/online,subject: /home/admin/clean,Firefox backdoor Drakon in-memory,Attack 1,file: /sys/devices/system/cpu/online -> subject: /home/admin/clean,cpu/online -> admin/clean,"file: cpu/online
-> process:* admin/clean",1
Leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /sys/devices/system/cpu/online,subject: /home/admin/profile,Firefox backdoor Drakon in-memory,Attack 1,file: /sys/devices/system/cpu/online -> subject: /home/admin/profile,cpu/online -> admin/profile,"file: cpu/online
-> process:* admin/profile",1
Leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /sys/devices/system/cpu/online,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,Browser extension Drakon dropper,Attack 0,file: /sys/devices/system/cpu/online -> subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,cpu/online -> native-messaging-hosts/gtcache,"file: cpu/online
-> process:* native-messaging-hosts/gtcache",1
Leaky selected,FN,FN,EVENT_READ,file->subject,src,file: /dev/glx_alsa_675,subject: /usr/bin/fluxbox | fluxbox,Firefox backdoor Drakon in-memory,Attack 1,file: /dev/glx_alsa_675 -> subject: /usr/bin/fluxbox | fluxbox,dev/glx_alsa_675 -> bin/fluxbox,"file:* dev/glx_alsa_675
-> process: bin/fluxbox",1
Leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /etc/passwd,subject: /home/admin/profile (deleted) | /home/admin/profile,Firefox backdoor Drakon in-memory,Attack 1,file: /etc/passwd -> subject: /home/admin/profile (deleted) | /home/admin/profile,etc/passwd -> admin/profile (deleted),"file: etc/passwd
-> process:* admin/profile (deleted)",1
Leaky selected,FN,FN,EVENT_READ,file->subject,src,file: /var/log/xdev,subject: /home/admin/profile (deleted) | /home/admin/profile,Browser extension Drakon dropper; Firefox backdoor Drakon in-memory,Multiple attacks,file: /var/log/xdev -> subject: /home/admin/profile (deleted) | /home/admin/profile,log/xdev -> admin/profile (deleted),"file:* log/xdev
-> process: admin/profile (deleted)",1
Leaky selected,FN,FN,EVENT_READ,file->subject,src,file: /etc/firefox/native-messaging-hosts/passwordfile.dat,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Browser extension Drakon dropper,Attack 0,file: /etc/firefox/native-messaging-hosts/passwordfile.dat -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,native-messaging-hosts/passwordfile.dat -> firefox/firefox,"file:* native-messaging-hosts/passwordfile.dat
-> process: firefox/firefox",1
Leaky selected,FN,FN,EVENT_READ,file->subject,dst,file: /usr/lib/x86_64-linux-gnu/libc.so,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Browser extension Drakon dropper,Attack 0,file: /usr/lib/x86_64-linux-gnu/libc.so -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,x86_64-linux-gnu/libc.so -> firefox/firefox,"file: x86_64-linux-gnu/libc.so
-> process:* firefox/firefox",1
Leaky selected,FN,FN,EVENT_RECVFROM,netflow->subject,dst,netflow 128.55.12.110:44354->146.153.68.151:80,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Firefox backdoor Drakon in-memory,Attack 1,netflow 128.55.12.110:44354->146.153.68.151:80 -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44354->146.153.68.151:80 -> firefox/firefox,"netflow: netflow 128.55.12.110:44354->146.153.68.151:80
-> process:* firefox/firefox",1
Leaky selected,FN,FN,EVENT_RECVFROM,netflow->subject,dst,netflow 128.55.12.110:44411->146.153.68.151:80,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,Firefox backdoor Drakon in-memory,Attack 1,netflow 128.55.12.110:44411->146.153.68.151:80 -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44411->146.153.68.151:80 -> firefox/firefox,"netflow: netflow 128.55.12.110:44411->146.153.68.151:80
-> process:* firefox/firefox",1
Leaky selected,FN,FN,EVENT_SENDMSG,subject->netflow,dst,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow LOCAL:0->NA:0,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow LOCAL:0->NA:0,firefox/firefox -> netflow LOCAL:0->NA:0,"process: firefox/firefox
-> netflow:* netflow LOCAL:0->NA:0",1
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /home/admin/clean (deleted) | /home/admin/clean,netflow 128.55.12.110:45226->161.116.88.72:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/clean (deleted) | /home/admin/clean -> netflow 128.55.12.110:45226->161.116.88.72:80,admin/clean (deleted) -> netflow 128.55.12.110:45226->161.116.88.72:80,"process: admin/clean (deleted)
-> netflow:* netflow 128.55.12.110:45226->161.116.88.72:80",1
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /home/admin/profile (deleted) | /home/admin/profile,netflow 128.55.12.110:45668->161.116.88.72:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/profile (deleted) | /home/admin/profile -> netflow 128.55.12.110:45668->161.116.88.72:80,admin/profile (deleted) -> netflow 128.55.12.110:45668->161.116.88.72:80,"process: admin/profile (deleted)
-> netflow:* netflow 128.55.12.110:45668->161.116.88.72:80",1
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /usr/bin/fluxbox | fluxbox,netflow 128.55.12.110:33100->141.43.176.203:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /usr/bin/fluxbox | fluxbox -> netflow 128.55.12.110:33100->141.43.176.203:80,bin/fluxbox -> netflow 128.55.12.110:33100->141.43.176.203:80,"process: bin/fluxbox
-> netflow:* netflow 128.55.12.110:33100->141.43.176.203:80",1
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /usr/bin/fluxbox | fluxbox,netflow 128.55.12.110:33157->141.43.176.203:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /usr/bin/fluxbox | fluxbox -> netflow 128.55.12.110:33157->141.43.176.203:80,bin/fluxbox -> netflow 128.55.12.110:33157->141.43.176.203:80,"process: bin/fluxbox
-> netflow:* netflow 128.55.12.110:33157->141.43.176.203:80",1
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:38445->141.43.176.203:80,Browser extension Drakon dropper,Attack 0,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:38445->141.43.176.203:80,firefox/firefox -> netflow 128.55.12.110:38445->141.43.176.203:80,"process: firefox/firefox
-> netflow:* netflow 128.55.12.110:38445->141.43.176.203:80",1
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:38467->141.43.176.203:80,Browser extension Drakon dropper,Attack 0,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:38467->141.43.176.203:80,firefox/firefox -> netflow 128.55.12.110:38467->141.43.176.203:80,"process: firefox/firefox
-> netflow:* netflow 128.55.12.110:38467->141.43.176.203:80",1
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44354->146.153.68.151:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:44354->146.153.68.151:80,firefox/firefox -> netflow 128.55.12.110:44354->146.153.68.151:80,"process: firefox/firefox
-> netflow:* netflow 128.55.12.110:44354->146.153.68.151:80",1
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow 128.55.12.110:44411->146.153.68.151:80,Firefox backdoor Drakon in-memory,Attack 1,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox -> netflow 128.55.12.110:44411->146.153.68.151:80,firefox/firefox -> netflow 128.55.12.110:44411->146.153.68.151:80,"process: firefox/firefox
-> netflow:* netflow 128.55.12.110:44411->146.153.68.151:80",1
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /var/log/mail,netflow 128.55.12.110:43730->149.52.198.23:80,Browser extension Drakon dropper,Attack 0,subject: /var/log/mail -> netflow 128.55.12.110:43730->149.52.198.23:80,log/mail -> netflow 128.55.12.110:43730->149.52.198.23:80,"process: log/mail
-> netflow:* netflow 128.55.12.110:43730->149.52.198.23:80",1
Leaky selected,FN,FN,EVENT_SENDTO,subject->netflow,dst,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache,netflow 128.55.12.110:49721->146.153.68.151:80,Browser extension Drakon dropper,Attack 0,subject: /etc/firefox/native-messaging-hosts/gtcache | ./gtcache -> netflow 128.55.12.110:49721->146.153.68.151:80,native-messaging-hosts/gtcache -> netflow 128.55.12.110:49721->146.153.68.151:80,"process: native-messaging-hosts/gtcache
-> netflow:* netflow 128.55.12.110:49721->146.153.68.151:80",1
Leaky selected,FP,FP,EVENT_READ,file->subject,src,file: pipe:[835394],subject: /sbin/init | /sbin/init ro quiet splash ,benign,benign,file: pipe:[835394] -> subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[835394] -> sbin/init,"file:* pipe:[835394]
-> process: sbin/init",1
Leaky selected,FP,FP,EVENT_READ,file->subject,dst,file: pipe:[835394],subject: /sbin/init | /sbin/init ro quiet splash ,benign,benign,file: pipe:[835394] -> subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[835394] -> sbin/init,"file: pipe:[835394]
-> process:* sbin/init",1
Leaky selected,FP,FP,EVENT_READ,file->subject,src,file: pipe:[838307],subject: /sbin/init | /sbin/init ro quiet splash ,benign,benign,file: pipe:[838307] -> subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[838307] -> sbin/init,"file:* pipe:[838307]
-> process: sbin/init",1
Leaky selected,FP,FP,EVENT_READ,file->subject,dst,file: pipe:[838307],subject: /sbin/init | /sbin/init ro quiet splash ,benign,benign,file: pipe:[838307] -> subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[838307] -> sbin/init,"file: pipe:[838307]
-> process:* sbin/init",1
Leaky selected,FP,FP,EVENT_READ,file->subject,src,file: pipe:[839377],subject: /sbin/init | /sbin/init ro quiet splash ,benign,benign,file: pipe:[839377] -> subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[839377] -> sbin/init,"file:* pipe:[839377]
-> process: sbin/init",1
Leaky selected,FP,FP,EVENT_READ,file->subject,dst,file: pipe:[839377],subject: /sbin/init | /sbin/init ro quiet splash ,benign,benign,file: pipe:[839377] -> subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[839377] -> sbin/init,"file: pipe:[839377]
-> process:* sbin/init",1
Leaky selected,FP,FP,EVENT_READ,file->subject,src,file: pipe:[840805],subject: /sbin/init | /sbin/init ro quiet splash ,benign,benign,file: pipe:[840805] -> subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[840805] -> sbin/init,"file:* pipe:[840805]
-> process: sbin/init",1
Leaky selected,FP,FP,EVENT_READ,file->subject,dst,file: pipe:[840805],subject: /sbin/init | /sbin/init ro quiet splash ,benign,benign,file: pipe:[840805] -> subject: /sbin/init | /sbin/init ro quiet splash ,pipe:[840805] -> sbin/init,"file: pipe:[840805]
-> process:* sbin/init",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/firefox,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,benign,benign,file: /home/admin/Downloads/firefox/firefox -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,firefox/firefox -> firefox/firefox,"file: firefox/firefox
-> process:* firefox/firefox",409
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_RECVMSG,netflow->subject,dst,netflow LOCAL:0->NA:0,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,benign,benign,netflow LOCAL:0->NA:0 -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,netflow LOCAL:0->NA:0 -> firefox/firefox,"netflow: netflow LOCAL:0->NA:0
-> process:* firefox/firefox",47
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,benign,benign,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake -> subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run,"file: bin/qmake
-> process:* admin/qt-opensource-linux-x64-5.10.1.run",6
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Qt5.10.1/5.10.1/gcc_64/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,benign,benign,file: /home/admin/Qt5.10.1/5.10.1/gcc_64/bin/qmake -> subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run,"file: bin/qmake
-> process:* admin/qt-opensource-linux-x64-5.10.1.run",6
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Qt5.10.1/5.10.1/android_x86/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,benign,benign,file: /home/admin/Qt5.10.1/5.10.1/android_x86/bin/qmake -> subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run,"file: bin/qmake
-> process:* admin/qt-opensource-linux-x64-5.10.1.run",5
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/crashreporter,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,benign,benign,file: /home/admin/Downloads/firefox/crashreporter -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,firefox/crashreporter -> firefox/firefox,"file: firefox/crashreporter
-> process:* firefox/firefox",4
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Qt5.10.1/Tools/QtCreator/libexec/qtcreator/sdktool,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,benign,benign,file: /home/admin/Qt5.10.1/Tools/QtCreator/libexec/qtcreator/sdktool -> subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,qtcreator/sdktool -> admin/qt-opensource-linux-x64-5.10.1.run,"file: qtcreator/sdktool
-> process:* admin/qt-opensource-linux-x64-5.10.1.run",4
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,src,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,benign,benign,file: /home/admin/Qt5.10.1/5.10.1/android_armv7/bin/qmake -> subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run,"file:* bin/qmake
-> process: admin/qt-opensource-linux-x64-5.10.1.run",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,src,file: /home/admin/Qt5.10.1/5.10.1/android_x86/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,benign,benign,file: /home/admin/Qt5.10.1/5.10.1/android_x86/bin/qmake -> subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run,"file:* bin/qmake
-> process: admin/qt-opensource-linux-x64-5.10.1.run",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,src,file: /home/admin/Qt5.10.1/5.10.1/gcc_64/bin/qmake,subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,benign,benign,file: /home/admin/Qt5.10.1/5.10.1/gcc_64/bin/qmake -> subject: /home/admin/qt-opensource-linux-x64-5.10.1.run | ./qt-opensource-linux-x64-5.10.1.run,bin/qmake -> admin/qt-opensource-linux-x64-5.10.1.run,"file:* bin/qmake
-> process: admin/qt-opensource-linux-x64-5.10.1.run",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,src,file: /home/admin/Downloads/firefox/crashreporter,subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,benign,benign,file: /home/admin/Downloads/firefox/crashreporter -> subject: /home/admin/Downloads/firefox/firefox | /usr/bin/firefox,firefox/crashreporter -> firefox/firefox,"file:* firefox/crashreporter
-> process: firefox/firefox",1
Leaky selected,TN_near_threshold,TN (benign) near threshold,EVENT_EXECUTE,file->subject,dst,file: /home/admin/Downloads/firefox/firefox,subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/0799dd00-8ed9-92dd-522f-2833a1096b1b.dmp,benign,benign,file: /home/admin/Downloads/firefox/firefox -> subject: /home/admin/Downloads/firefox/crashreporter | /home/admin/Downloads/firefox/crashreporter /home/admin/.mozilla/firefox/pe11scpa.default/minidumps/0799dd00-8ed9-92dd-522f-2833a1096b1b.dmp,firefox/firefox -> firefox/crashreporter,"file: firefox/firefox
-> process:* firefox/crashreporter",1
